call_id,timestamp,duration_seconds,total_cost,total_stt_cost,total_llm_cost,total_tts_cost,total_livekit_cost,total_stt_duration,total_llm_input_tokens,total_llm_output_tokens,total_tts_characters,avg_eou_delay_ms,avg_llm_ttft_ms,avg_tts_ttfb_ms,avg_ttft_ms
call_voice_assistant_room_4608_5810b1f7,2026-01-25T16:26:31.840713,93.03,0.052947,0.004933,0.006153,0.026356,0.015505,14.80,10000,320,1198,873.69,301.56,551.54,1021.65
call_voice_assistant_room_3248_af9541a1,2026-01-26T13:55:56.948091,218.67,0.086126,0.005600,0.003755,0.040326,0.036445,16.80,6000,272,1833,978.57,422.30,654.07,1284.12
call_voice_assistant_room_3447_3c0a954b,2026-01-26T14:20:59.231512,392.12,0.168033,0.021733,0.007577,0.073370,0.065353,65.20,12000,629,3335,986.87,331.26,637.01,1419.43
call_voice_assistant_room_4545_a29e2472,2026-01-26T15:20:29.354826,35.00,0.022254,0.000267,0.002427,0.013728,0.005833,0.80,4000,85,624,105.88,294.67,600.20,733.71
call_voice_assistant_room_8691_dbe2d990,2026-01-26T15:23:58.757412,35.81,0.014352,0.000000,0.002400,0.005984,0.005968,0.00,4000,51,272,0.00,0.00,466.75,466.75
call_voice_assistant_room_3825_b823b35d,2026-01-26T15:32:10.889255,102.70,0.046803,0.001067,0.004904,0.023716,0.017116,3.20,8000,233,1078,1266.81,403.12,571.28,1406.24
call_voice_assistant_room_4816_752a6067,2026-01-26T15:32:58.761028,37.68,0.028116,0.000533,0.003680,0.017622,0.006280,1.60,6000,177,801,1027.88,416.84,640.59,1362.95
call_voice_assistant_room_2806_ede27008,2026-01-26T16:32:19.718404,69.02,0.029368,0.001467,0.003637,0.012760,0.011504,4.40,6000,123,580,1941.72,283.61,569.28,1311.06
call_voice_assistant_room_4234_4f857706,2026-01-26T16:36:58.357238,35.89,0.014366,0.000000,0.002400,0.005984,0.005982,0.00,4000,51,272,0.00,0.00,478.68,478.68
call_voice_assistant_room_326_9f0270a3,2026-01-26T16:44:21.853126,42.52,0.021018,0.000400,0.003610,0.009922,0.007087,1.20,6000,88,451,1888.05,393.90,495.25,1255.90
call_voice_assistant_room_8678_44ef5a6e,2026-01-26T17:00:03.731318,898.09,0.447005,0.006800,0.013675,0.276848,0.149682,20.40,22000,880,12584,947.35,393.79,745.64,1722.84
call_voice_assistant_room_7014_93c34329,2026-01-26T17:46:47.185508,328.90,0.144618,0.013933,0.011122,0.064746,0.054817,41.80,18000,635,2943,1100.43,387.89,648.68,1800.54
call_voice_assistant_room_2815_cf2bb6a9,2026-01-26T18:00:26.561695,157.04,0.064534,0.000800,0.006124,0.031438,0.026173,2.40,10000,283,1429,962.93,448.32,636.44,1342.07
