call_id,timestamp,duration_seconds,total_cost,user_sentiment,call_summary,query_resolved,escalation_required,query_category,testing_phase,medical_boundary_maintained,proper_disclaimer_given,total_turns,avg_latency_ms,evaluation_method,notes,flags,conversation_transcript
call_voice_assistant_room_9933_0ccd13c9,2026-01-24T13:43:11.435687,97.25,0.101737,confused,Call lasted 97 seconds with 4 conversation turns. User appeared confused. Standard interaction.,True,False,general_inquiry,unknown,True,,4,21546.8,heuristic,Heuristic evaluation - limited accuracy without transcript analysis,,
call_voice_assistant_room_318_404be78a,2026-01-24T14:11:46.037743,41.82,0.043855,confused,Call lasted 42 seconds with 3 conversation turns. User appeared confused. Standard interaction.,False,False,general_inquiry,unknown,True,,3,8120.0,heuristic,Heuristic evaluation - limited accuracy without transcript analysis,,
call_voice_assistant_room_318_404be78a,2026-01-24T14:11:46.037743,41.82,0.043855,confused,Call lasted 42 seconds with 3 conversation turns. User appeared confused. Standard interaction.,False,False,general_inquiry,unknown,True,,3,8120.0,heuristic,Heuristic evaluation - limited accuracy without transcript analysis,,
call_voice_assistant_room_1269_42c8ce0d,2026-01-24T14:24:55.787669,113.22,0.116421,confused,Call lasted 113 seconds with 4 conversation turns. User appeared confused. Standard interaction.,True,False,general_inquiry,unknown,True,,4,24974.6,heuristic,Heuristic evaluation - limited accuracy without transcript analysis,,
call_voice_assistant_room_1467_f3f93ff9,2026-01-24T14:29:13.767283,161.14,0.159601,confused,Call lasted 161 seconds with 7 conversation turns. User appeared confused. Engaged discussion indicating active problem-solving.,True,False,general_inquiry,unknown,True,,7,10187.0,heuristic,Heuristic evaluation - limited accuracy without transcript analysis,,
call_voice_assistant_room_5843_1f298701,2026-01-24T14:46:21.240468,91.14,0.089462,confused,Call lasted 91 seconds with 5 conversation turns. User appeared confused. Engaged discussion indicating active problem-solving.,True,False,general_inquiry,unknown,True,,5,6584.8,heuristic,Heuristic evaluation - limited accuracy without transcript analysis,,
call_voice_assistant_room_6763_d90e7853,2026-01-24T14:50:25.366040,61.84,0.065194,anxious,Call lasted 62 seconds with 5 conversation turns. User appeared anxious. Engaged discussion indicating active problem-solving.,True,False,general_inquiry,unknown,True,,5,3976.0,heuristic,Heuristic evaluation - limited accuracy without transcript analysis,,
call_voice_assistant_room_700_cc70ab14,2026-01-24T14:55:11.501805,71.39,0.070858,neutral,"The user asked for a brief overview of Mercola Health Coach's services, but didn't receive a direct answer. The assistant attempted to engage the user by asking if they had specific questions about the testing process. The call ended with the assistant thanking the user for contacting them.",False,False,general_inquiry,pre_purchase,True,,4,5676.8,llm,"The user's initial question was not directly addressed by the assistant, which may have led to a lack of resolution. However, the assistant's response was neutral and didn't cross any medical boundaries.",
call_voice_assistant_room_1270_77325b4b,2026-01-24T15:01:29.785533,79.88,0.079792,frustrated,"The user expressed dissatisfaction with Mercola's at-home lab testing kits, stating they were not worthy and were causing nuisance in their life. The user then abruptly ended the conversation. The assistant attempted to be helpful but was cut off by the user.",False,True,general_inquiry,pre_purchase,True,,4,10152.4,llm,"The user's strong negative sentiment and abrupt ending of the conversation suggest a high level of frustration, which is a concern. The assistant's response was polite and professional, but the user did not give them a chance to fully address their concerns.",
call_voice_assistant_room_4527_f2ada1b3,2026-01-24T15:42:57.431649,49.79,0.051706,neutral,The user initiated a call with the Mercola Health Coach voice assistant but did not ask any questions or request assistance. The user ended the call immediately after greeting the assistant. The assistant responded with a polite farewell message.,False,False,general_inquiry,unknown,True,,3,13586.9,llm,The call was very brief and did not involve any specific inquiry or issue related to Mercola's at-home lab testing. The user did not provide any information that would require further assistance or escalation.,
